source_id,profile_id,description,driver_age,gender,marital,years_licensed,incidents,violations,coverage,liability_limits,comp_deductible,coll_deductible,vehicle,annual_miles,good_student,driver_training,other
ca-2026,ca-1152B,"CDI 2026 Auto Premium Survey tool: Coverage Type=Basic - Liability Only; Insurance For=Married Couple; Years Licensed=13yrs/10yrs; Mileage=7,600 - 10,000; Driving Record=Spouse1 has 1 Traffic Ticket; Vehicle=Toyota Camry, Toyota Rav4; Profile 1152B. Basic Limits: Liability Coverage Only: 30,000/60,000 Bodily Injury; 15,000 Property Damage; 2,000 Medical Payments; 30,000/60,000 Uninsured/Underinsured Motorist; 3,500 Uninsured Motorist - Property Damage",,,married,,,,liability-only,30/60/15,,,"Toyota Camry, Toyota Rav4","7,600 - 10,000",,,multi-driver/multi-car profile: Married Couple (13yrs/10yrs licensed)
ca-2026,ca-1152N,"CDI 2026 Auto Premium Survey tool: Coverage Type=Basic - Liability Only; Insurance For=Married Couple; Years Licensed=13yrs/10yrs; Mileage=7,600 - 10,000; Driving Record=Both have 1 Traffic Ticket; Vehicle=Toyota Camry, Toyota Rav4; Profile 1152N. Basic Limits: Liability Coverage Only: 30,000/60,000 Bodily Injury; 15,000 Property Damage; 2,000 Medical Payments; 30,000/60,000 Uninsured/Underinsured Motorist; 3,500 Uninsured Motorist - Property Damage",,,married,,,,liability-only,30/60/15,,,"Toyota Camry, Toyota Rav4","7,600 - 10,000",,,multi-driver/multi-car profile: Married Couple (13yrs/10yrs licensed)
ca-2026,ca-1192A,"CDI 2026 Auto Premium Survey tool: Coverage Type=Basic - Liability Only; Insurance For=Married Senior Couple; Years Licensed=40 plus; Mileage=7,600 - 10,000; Driving Record=No Violations; Vehicle=Mercedes-Benz E350, Toyota Camry; Profile 1192A. Basic Limits: Liability Coverage Only: 30,000/60,000 Bodily Injury; 15,000 Property Damage; 2,000 Medical Payments; 30,000/60,000 Uninsured/Underinsured Motorist; 3,500 Uninsured Motorist - Property Damage",,,married,,,,liability-only,30/60/15,,,"Mercedes-Benz E350, Toyota Camry","7,600 - 10,000",,,multi-driver/multi-car profile: Married Senior Couple (40 plus licensed)
ca-2026,ca-1192B,"CDI 2026 Auto Premium Survey tool: Coverage Type=Basic - Liability Only; Insurance For=Married Senior Couple; Years Licensed=40 plus; Mileage=7,600 - 10,000; Driving Record=Spouse1 has 1 Traffic Ticket; Vehicle=Mercedes-Benz E350, Toyota Camry; Profile 1192B. Basic Limits: Liability Coverage Only: 30,000/60,000 Bodily Injury; 15,000 Property Damage; 2,000 Medical Payments; 30,000/60,000 Uninsured/Underinsured Motorist; 3,500 Uninsured Motorist - Property Damage",,,married,,,,liability-only,30/60/15,,,"Mercedes-Benz E350, Toyota Camry","7,600 - 10,000",,,multi-driver/multi-car profile: Married Senior Couple (40 plus licensed)
ca-2026,ca-1192N,"CDI 2026 Auto Premium Survey tool: Coverage Type=Basic - Liability Only; Insurance For=Married Senior Couple; Years Licensed=40 plus; Mileage=7,600 - 10,000; Driving Record=Both have 1 Traffic Ticket; Vehicle=Mercedes-Benz E350, Toyota Camry; Profile 1192N. Basic Limits: Liability Coverage Only: 30,000/60,000 Bodily Injury; 15,000 Property Damage; 2,000 Medical Payments; 30,000/60,000 Uninsured/Underinsured Motorist; 3,500 Uninsured Motorist - Property Damage",,,married,,,,liability-only,30/60/15,,,"Mercedes-Benz E350, Toyota Camry","7,600 - 10,000",,,multi-driver/multi-car profile: Married Senior Couple (40 plus licensed)
ca-2026,ca-2511A_V3,"CDI 2026 Auto Premium Survey tool: Coverage Type=Standard; Insurance For=Single Driver; Years Licensed=1 to 4; Mileage=5,000 - 7,500; Driving Record=No Violations; Vehicle=Honda Accord; Profile 2511A_V3. Standard Full Coverage: 100,000/300,000 Bodily Injury; 50,000 Property Damage; 5,000 Medical Payments; 30,000/60,000 Uninsured/Underinsured Motorist - Bodily Injury; $250 Comprehensive Deductible; $500 Collision Deductible; Waiver on Collision Deductible",,,single,4,0,0,full,100/300/50,250,500,Honda Accord,"5,000 - 7,500",,,
ca-2026,ca-2512A_V1,"CDI 2026 Auto Premium Survey tool: Coverage Type=Standard; Insurance For=Single Driver; Years Licensed=1 to 4; Mileage=7,600 - 10,000; Driving Record=No Violations; Vehicle=Subaru Crosstrek; Profile 2512A_V1. Standard Full Coverage: 100,000/300,000 Bodily Injury; 50,000 Property Damage; 5,000 Medical Payments; 30,000/60,000 Uninsured/Underinsured Motorist - Bodily Injury; $250 Comprehensive Deductible; $500 Collision Deductible; Waiver on Collision Deductible",,,single,4,0,0,full,100/300/50,250,500,Subaru Crosstrek,"7,600 - 10,000",,,
ca-2026,ca-2512A_V2,"CDI 2026 Auto Premium Survey tool: Coverage Type=Standard; Insurance For=Single Driver; Years Licensed=1 to 4; Mileage=7,600 - 10,000; Driving Record=No Violations; Vehicle=Honda Civic; Profile 2512A_V2. Standard Full Coverage: 100,000/300,000 Bodily Injury; 50,000 Property Damage; 5,000 Medical Payments; 30,000/60,000 Uninsured/Underinsured Motorist - Bodily Injury; $250 Comprehensive Deductible; $500 Collision Deductible; Waiver on Collision Deductible",,,single,4,0,0,full,100/300/50,250,500,Honda Civic,"7,600 - 10,000",,,
ca-2026,ca-2512A_V3,"CDI 2026 Auto Premium Survey tool: Coverage Type=Standard; Insurance For=Single Driver; Years Licensed=1 to 4; Mileage=7,600 - 10,000; Driving Record=No Violations; Vehicle=Honda Accord; Profile 2512A_V3. Standard Full Coverage: 100,000/300,000 Bodily Injury; 50,000 Property Damage; 5,000 Medical Payments; 30,000/60,000 Uninsured/Underinsured Motorist - Bodily Injury; $250 Comprehensive Deductible; $500 Collision Deductible; Waiver on Collision Deductible",,,single,4,0,0,full,100/300/50,250,500,Honda Accord,"7,600 - 10,000",,,
ca-2026,ca-2512A_V4,"CDI 2026 Auto Premium Survey tool: Coverage Type=Standard; Insurance For=Single Driver; Years Licensed=1 to 4; Mileage=7,600 - 10,000; Driving Record=No Violations; Vehicle=Toyota Tacoma; Profile 2512A_V4. Standard Full Coverage: 100,000/300,000 Bodily Injury; 50,000 Property Damage; 5,000 Medical Payments; 30,000/60,000 Uninsured/Underinsured Motorist - Bodily Injury; $250 Comprehensive Deductible; $500 Collision Deductible; Waiver on Collision Deductible",,,single,4,0,0,full,100/300/50,250,500,Toyota Tacoma,"7,600 - 10,000",,,
