source_id,state,data_year,url,locator,territory,carrier,profile_id,annual_premium
co-2023,CO,2023,http://www.dora.state.co.us/pls/real/Ins_Survey_Reports.Report_Selection_Criteria?p_report_id=AUTO&p_label=,"raw/Alamosa__81101__Driver_A.html (report 'Auto Premiums for Alamosa (81101)', column 'Driver A'), row 'COUNTRY Casualty Insurance Company' / 'Plan 2' = $2,869 (6-month, x2)",Alamosa (81101),COUNTRY Casualty Insurance Company,co-A-P2,5738
co-2023,CO,2023,http://www.dora.state.co.us/pls/real/Ins_Survey_Reports.Report_Selection_Criteria?p_report_id=AUTO&p_label=,"raw/Alamosa__81101__Driver_A.html (report 'Auto Premiums for Alamosa (81101)', column 'Driver A'), row 'COUNTRY Casualty Insurance Company' / 'Plan 3' = $2,976 (6-month, x2)",Alamosa (81101),COUNTRY Casualty Insurance Company,co-A-P3,5952
co-2023,CO,2023,http://www.dora.state.co.us/pls/real/Ins_Survey_Reports.Report_Selection_Criteria?p_report_id=AUTO&p_label=,"raw/Alamosa__81101__Driver_A.html (report 'Auto Premiums for Alamosa (81101)', column 'Driver A'), row 'COUNTRY Mutual Insurance Company' / 'Plan 1' = $1,859 (6-month, x2)",Alamosa (81101),COUNTRY Mutual Insurance Company,co-A-P1,3718
co-2023,CO,2023,http://www.dora.state.co.us/pls/real/Ins_Survey_Reports.Report_Selection_Criteria?p_report_id=AUTO&p_label=,"raw/Alamosa__81101__Driver_A.html (report 'Auto Premiums for Alamosa (81101)', column 'Driver A'), row 'COUNTRY Mutual Insurance Company' / 'Plan 2' = $2,158 (6-month, x2)",Alamosa (81101),COUNTRY Mutual Insurance Company,co-A-P2,4316
co-2023,CO,2023,http://www.dora.state.co.us/pls/real/Ins_Survey_Reports.Report_Selection_Criteria?p_report_id=AUTO&p_label=,"raw/Alamosa__81101__Driver_A.html (report 'Auto Premiums for Alamosa (81101)', column 'Driver A'), row 'COUNTRY Mutual Insurance Company' / 'Plan 3' = $2,244 (6-month, x2)",Alamosa (81101),COUNTRY Mutual Insurance Company,co-A-P3,4488
co-2023,CO,2023,http://www.dora.state.co.us/pls/real/Ins_Survey_Reports.Report_Selection_Criteria?p_report_id=AUTO&p_label=,"raw/Alamosa__81101__Driver_A.html (report 'Auto Premiums for Alamosa (81101)', column 'Driver A'), row 'COUNTRY Preferred Insurance Company' / 'Plan 3' = $1,907 (6-month, x2)",Alamosa (81101),COUNTRY Preferred Insurance Company,co-A-P3,3814
co-2023,CO,2023,http://www.dora.state.co.us/pls/real/Ins_Survey_Reports.Report_Selection_Criteria?p_report_id=AUTO&p_label=,"raw/Alamosa__81101__Driver_A.html (report 'Auto Premiums for Alamosa (81101)', column 'Driver A'), row 'CSAA General Insurance Company' / 'Plan 1' = $1,403 (6-month, x2)",Alamosa (81101),CSAA General Insurance Company,co-A-P1,2806
co-2023,CO,2023,http://www.dora.state.co.us/pls/real/Ins_Survey_Reports.Report_Selection_Criteria?p_report_id=AUTO&p_label=,"raw/Alamosa__81101__Driver_A.html (report 'Auto Premiums for Alamosa (81101)', column 'Driver A'), row 'CSAA General Insurance Company' / 'Plan 2' = $1,367 (6-month, x2)",Alamosa (81101),CSAA General Insurance Company,co-A-P2,2734
co-2023,CO,2023,http://www.dora.state.co.us/pls/real/Ins_Survey_Reports.Report_Selection_Criteria?p_report_id=AUTO&p_label=,"raw/Alamosa__81101__Driver_A.html (report 'Auto Premiums for Alamosa (81101)', column 'Driver A'), row 'CSAA General Insurance Company' / 'Plan 3' = $1,373 (6-month, x2)",Alamosa (81101),CSAA General Insurance Company,co-A-P3,2746
co-2023,CO,2023,http://www.dora.state.co.us/pls/real/Ins_Survey_Reports.Report_Selection_Criteria?p_report_id=AUTO&p_label=,"raw/Alamosa__81101__Driver_A.html (report 'Auto Premiums for Alamosa (81101)', column 'Driver A'), row 'California Casualty Indemnity Exchange' / 'Plan 1' = $1,220 (6-month, x2)",Alamosa (81101),California Casualty Indemnity Exchange,co-A-P1,2440
